playerid,PlayerSeason,WAR
1008694,1887 Jim McTamany,2.3
1010358,1886 George Pinkney,2.3
1002622,1892 Tommy Corcoran,2.3
1005120,1984 Pedro Guerrero,2.3
1002808,1900 Lave Cross,2.3
1004409,1954 Carl Furillo,2.3
1011311,1973 Bill Russell,2.3
1006484,1966 Lou Johnson,2.3
1000450,1978 Dusty Baker,2.3
1010009,1965 Wes Parker,2.3
1013377,1942 Arky Vaughan,2.3
1009149,1912 Herbie Moran,2.3
1004311,1933 Johnny Frederick,2.3
1004642,1905 Doc Gessler,2.3
1011311,1976 Bill Russell,2.3
1003088,1968 Willie Davis,2.2
1011481,1988 Steve Sax,2.2
1012668,1969 Bill Sudakis,2.2
651,2004 Shawn Green,2.2
1011400,1991 Juan Samuel,2.2
6265,2009 Andre Ethier,2.2
1001944,1927 Max Carey,2.2
1002692,1951 Billy Cox,2.2
1006180,1909 John Hummel,2.2
1006180,1910 John Hummel,2.2
1314,1998 Raul Mondesi,2.2
1009793,1919 Ivy Olson,2.2
1012926,1890 Adonis Terry,2.2
1005244,1969 Tom Haller,2.2
1679,2016 Chase Utley,2.2
1011843,1904 Jimmy Sheckard,2.1
1002622,1896 Tommy Corcoran,2.1
1004409,1950 Carl Furillo,2.1
1010281,1886 Bill Phillips,2.1
1006466,1922 Jimmy Johnston,2.1
1011209,1938 Goody Rosen,2.1
1010776,1941 Pee Wee Reese,2.1
1003088,1965 Willie Davis,2.1
716,1998 Eric Young,2.1
1012143,1886 Germany Smith,2.1
1003907,1964 Ron Fairly,2.1
1012481,1913 Casey Stengel,2.1
4556,2011 James Loney,2.1
1591,2011 Jamey Carroll,2.1
1011199,1963 Johnny Roseboro,2.1
1006080,1960 Frank Howard,2.0
1004724,1961 Jim Gilliam,2.0
1314,1999 Raul Mondesi,2.0
190,2006 Nomar Garciaparra,2.0
1002622,1895 Tommy Corcoran,2.0
1000232,1896 John Anderson,2.0
1004724,1959 Jim Gilliam,2.0
1002697,1925 Dick Cox,2.0
1010009,1972 Wes Parker,2.0
1000450,1983 Dusty Baker,1.9
1003907,1962 Ron Fairly,1.9
1002848,1934 Tony Cuccinello,1.9
6265,2010 Andre Ethier,1.9
1014332,1975 Steve Yeager,1.9
1007386,1938 Cookie Lavagetto,1.9
1004595,1884 Billy Geer,1.9
1013828,1911 Zack Wheat,1.9
1007303,1985 Ken Landreaux,1.9
