Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
8/30/2016,Washington Nationals,PHI,1,1,0,2.25,1,1,0,0,0,0,0,8,27,3,2,2,1,1,0,0,0,0,11,78
8/25/2016,Washington Nationals,BAL,1,1,0,0,1,1,0,0,0,0,0,8,26,2,0,0,0,0,0,0,0,0,10,93
8/20/2016,Washington Nationals,ATL,1,1,0,5.68,1,1,0,0,0,0,0,6.1,28,6,4,4,0,3,0,0,0,0,6,53
8/15/2016,Washington Nationals,COL,1,0,0,9,1,1,0,0,0,0,0,4,21,7,4,4,1,2,0,0,0,0,3,30
8/9/2016,Washington Nationals,CLE,1,0,1,1.29,1,1,0,0,0,0,0,7,25,3,2,1,0,1,0,0,0,0,10,77
8/3/2016,Washington Nationals,ARI,1,1,0,3.38,1,1,0,0,0,0,0,8,29,4,3,3,2,1,0,0,1,0,11,67
7/29/2016,Washington Nationals,SFG,1,1,0,1.29,1,1,0,0,0,0,0,7,27,5,1,1,0,2,0,0,0,0,6,70
7/23/2016,Washington Nationals,SDP,1,0,0,2.57,1,1,0,0,0,0,0,7,25,4,2,2,1,0,0,0,0,0,10,71
7/17/2016,Washington Nationals,PIT,1,0,0,1.29,1,1,0,0,0,0,0,7,29,6,1,1,0,1,0,1,0,0,7,71
7/9/2016,Washington Nationals,NYM,1,1,0,0,1,1,0,0,0,0,0,7,27,3,1,0,0,2,0,1,0,0,9,77
7/4/2016,Washington Nationals,MIL,1,0,1,1.5,1,1,0,0,0,0,0,6,26,4,1,1,1,3,0,0,0,0,7,59
6/29/2016,Washington Nationals,NYM,1,1,0,0,1,1,0,0,0,0,0,7.1,25,2,0,0,0,1,0,0,0,0,10,87
6/24/2016,Washington Nationals,MIL,1,0,1,7.5,1,1,0,0,0,0,0,6,26,5,5,5,2,3,0,0,0,0,10,42
6/18/2016,Washington Nationals,SDP,1,0,0,1.5,1,1,0,0,0,0,0,6,22,4,1,1,1,0,0,0,0,0,10,68
6/13/2016,Washington Nationals,CHC,1,1,0,1.29,1,1,0,0,0,0,0,7,23,2,1,1,1,0,0,0,0,0,11,79
6/8/2016,Washington Nationals,CHW,1,1,0,0,1,1,0,0,0,0,0,7,26,5,0,0,0,1,0,0,0,0,6,75
6/1/2016,Washington Nationals,PHI,1,1,0,2.25,1,1,0,0,0,0,0,8,31,5,2,2,1,2,0,0,0,0,11,72
5/27/2016,Washington Nationals,STL,1,0,1,6.43,1,1,0,0,0,0,0,7,27,3,5,5,1,4,0,0,0,0,6,52
5/22/2016,Washington Nationals,MIA,1,1,0,2.25,1,1,0,0,0,0,0,8,29,6,2,2,1,0,0,0,0,0,8,71
5/17/2016,Washington Nationals,NYM,1,0,1,2.84,1,1,0,0,0,0,0,6.1,25,3,2,2,2,3,0,1,0,0,10,57
5/11/2016,Washington Nationals,DET,1,1,0,2,1,1,1,0,0,0,0,9,33,6,2,2,2,0,0,0,0,0,20,83
5/6/2016,Washington Nationals,CHC,1,0,1,12.6,1,1,0,0,0,0,0,5,25,7,7,7,4,3,0,0,0,0,7,11
5/1/2016,Washington Nationals,STL,1,1,0,0,1,1,0,0,0,0,0,7,25,4,0,0,0,0,0,0,0,0,9,82
4/26/2016,Washington Nationals,PHI,1,0,0,4.5,1,1,0,0,0,0,0,6,27,7,3,3,1,4,0,0,0,0,7,45
4/21/2016,Washington Nationals,MIA,1,0,1,9,1,1,0,0,0,0,0,5,25,8,5,5,1,2,0,1,1,0,3,31
4/16/2016,Washington Nationals,PHI,1,1,0,1.29,1,1,0,0,0,0,0,7,27,5,1,1,1,1,0,0,0,0,7,67
4/11/2016,Washington Nationals,ATL,1,1,0,6,1,1,0,0,0,0,0,6,26,6,4,4,0,3,1,0,0,0,6,51
4/4/2016,Washington Nationals,ATL,1,0,0,2.57,1,1,0,0,0,0,0,7,25,3,2,2,2,2,0,0,0,0,7,60
10/3/2015,Washington Nationals,NYM,1,1,0,0,1,1,1,1,0,0,0,9,28,0,0,0,0,0,0,0,0,0,17,109
9/28/2015,Washington Nationals,CIN,1,1,0,1.13,1,1,0,0,0,0,0,8,29,2,1,1,0,3,0,0,0,0,10,83
9/23/2015,Washington Nationals,BAL,1,0,1,5.4,1,1,0,0,0,0,0,6.2,29,7,4,4,2,2,0,0,0,0,12,48
9/18/2015,Washington Nationals,MIA,1,0,0,2.57,1,1,0,0,0,0,0,7,28,5,2,2,1,3,0,0,1,0,6,58
9/13/2015,Washington Nationals,MIA,1,1,0,0,1,1,0,0,0,0,0,8,28,5,0,0,0,0,0,0,0,0,6,82
9/7/2015,Washington Nationals,NYM,1,0,0,7.5,1,1,0,0,0,0,0,6,25,7,5,5,3,0,0,0,1,1,6,33
9/2/2015,Washington Nationals,STL,1,0,0,3,1,1,0,0,0,0,0,6,29,11,2,2,1,0,0,0,0,0,10,50
8/28/2015,Washington Nationals,MIA,1,0,1,5.14,1,1,0,0,0,0,0,7,27,6,4,4,2,0,0,0,1,0,8,52
8/20/2015,Washington Nationals,COL,1,0,1,4.5,1,1,0,0,0,0,0,6,29,8,3,3,0,3,1,0,0,0,7,50
